variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
7.89796#8.97959#79.91837#81.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.06555893183367417,0.0224766,0.03669479893048128,0.0165935,169,748
32.77551#33.85714#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.15610542440633246,0.02101095,0.04378285909547739,0.023893099999999997,172,995
7.89796#8.97959#79.91837#81.95918#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.056626339788199705,0.0204751,0.057337470528455274,0.023540699999999998,157,492
31.69388#32.77551#63.59184#65.63265#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0688866034240562,0.0182724,0.091580871278826,0.0317261,169,477
30.61224#31.69388#63.59184#65.63265#Bombing_Explosion-Facility_Infrastructure_Attack,0.10471011784431138,0.019258599999999997,0.03321055743651753,0.018708900000000004,189,827
25.20408#26.28571#61.55102#63.59184#Bombing_Explosion-Facility_Infrastructure_Attack,0.0660128835199005,0.02427245,0.3425676974828375,0.48789399999999994,197,437
32.77551#33.85714#35.02041#37.06122#Bombing_Explosion-Facility_Infrastructure_Attack,0.0703905035566584,0.018000400000000003,0.1083893203821656,0.026277,169,471
13.30612#14.38776#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07618114469914039,0.030977499999999998,0.2800725306451613,0.14779599999999998,187,310
30.61224#31.69388#63.59184#65.63265#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.08698355376068376,0.0193168,0.10645934256,0.0334669,178,625
31.69388#32.77551#65.63265#67.67347#Bombing_Explosion-Facility_Infrastructure_Attack,0.08166796219864995,0.0184222,0.09952579496753247,0.0267659,174,616
29.53061#30.61224#30.93878#32.97959#Bombing_Explosion-Facility_Infrastructure_Attack,0.08089856408921933,0.053206399999999994,0.3803510724358974,0.49314800000000003,187,156
12.22449#13.30612#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.07430783155479058,0.028619299999999997,0.09837654430379746,0.05028969999999999,195,316
42.5102#43.59184#45.22449#47.26531#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.0853321178041543,0.0198377,0.057667076726057906,0.017697150000000002,186,898
33.85714#34.93878#69.71429#71.7551#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.11437794091324201,0.0214491,0.03785416213592233,0.02110455,188,1030
31.69388#32.77551#35.02041#37.06122#Bombing_Explosion-Facility_Infrastructure_Attack,0.06973774224452554,0.018765749999999998,0.17100298674948242,0.0544222,165,483
42.5102#43.59184#45.22449#47.26531#Bombing_Explosion-Facility_Infrastructure_Attack,0.09908435047984644,0.02021835,0.044886949813200495,0.0161115,197,803
33.85714#34.93878#43.18367#45.22449#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.10178872434210527,0.0194234,0.0366932209762533,0.01869685,190,758
33.85714#34.93878#35.02041#37.06122#Bombing_Explosion-Facility_Infrastructure_Attack,0.06612782876712328,0.01966165,0.04705312852564102,0.019313450000000003,174,624
32.77551#33.85714#69.71429#71.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.16399108633193862,0.0242002,0.047670327430555555,0.02050305,178,864
31.69388#32.77551#61.55102#63.59184#Bombing_Explosion-Facility_Infrastructure_Attack,0.07657646815789473,0.02008455,0.11061565823970039,0.03354675,170,534
36.02041#37.10204#65.63265#67.67347#Bombing_Explosion-Facility_Infrastructure_Attack,0.0648882292637465,0.018574900000000002,0.07273372514285716,0.02746895,173,350
30.61224#31.69388#32.97959#35.02041#Bombing_Explosion-Facility_Infrastructure_Attack,0.0985672372644801,0.0257628,0.05592680590747331,0.023487400000000002,187,1405
