variable,srcmean_gamma,srcmed_gamma,tgtmean_gamma,tgtmed_gamma,numSrc,numTgt
48.71429#49.5102#37.5102#38.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.16198465049533797,0.04351755,0.06600286460246654,0.030006099999999997,480,3811
36.77551#37.57143#40.32653#41.73469#Bombing_Explosion-Facility_Infrastructure_Attack,0.1913780093212082,0.038566699999999995,0.07795466071653048,0.020882949999999997,528,3182
47.12245#47.91837#17.79592#19.20408#Bombing_Explosion-Facility_Infrastructure_Attack,0.10601750225921523,0.06972919999999999,0.25771419268292683,0.14458900000000002,308,369
40.7551#41.55102#13.57143#14.97959#Bombing_Explosion-Facility_Infrastructure_Attack,0.25480745160349855,0.219561,0.29488314342105265,0.4540565,194,228
34.38776#35.18367#2.30612#3.71429#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.3430750240802676,0.454068,0.20818894471544713,0.106108,166,123
51.89796#52.69388#9.34694#10.7551#Bombing_Explosion-Facility_Infrastructure_Attack,0.14539708353658537,0.1011935,0.23995403846153845,0.16863699999999998,405,65
32.0#32.79592#19.20408#20.61224#Bombing_Explosion-Facility_Infrastructure_Attack,0.2711193168588957,0.188498,0.06446173675024583,0.0413307,800,4068
47.91837#48.71429#10.7551#12.16327#Bombing_Explosion-Facility_Infrastructure_Attack,0.12683218979771327,0.087032,0.19733937014925373,0.08604830000000001,463,335
35.18367#35.97959#7.93878#9.34694#Bombing_Explosion-Facility_Infrastructure_Attack,0.06010674029978587,0.0289916,0.07941787088477366,0.05009985,549,972
47.91837#48.71429#38.91837#40.32653#Bombing_Explosion-Facility_Infrastructure_Attack,0.1647767664289353,0.05166975,0.06466161847771658,0.0283485,504,3994
55.08163#55.87755#29.06122#30.46939#Bombing_Explosion-Facility_Infrastructure_Attack,0.3377314396551724,0.454035,0.19822452077922081,0.10616099999999999,163,77
33.59184#34.38776#40.32653#41.73469#Bombing_Explosion-Facility_Infrastructure_Attack,0.1197089675489068,0.02563675,0.21561720021798367,0.0857093,465,1835
51.10204#51.89796#0.89796#2.30612#Bombing_Explosion-Facility_Infrastructure_Attack,0.32664408674698786,0.45416899999999993,0.3209728855614974,0.45438,153,187
51.89796#52.69388#6.53061#7.93878#Bombing_Explosion-Facility_Infrastructure_Attack,0.37621517125307125,0.45429200000000003,0.23832595443037968,0.144515,269,79
39.95918#40.7551#27.65306#29.06122#Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_,0.3305565371841155,0.45423100000000005,0.18287808227272728,0.08415829999999999,173,220
46.32653#47.12245#31.87755#33.28571#Bombing_Explosion-Facility_Infrastructure_Attack,0.07845092605022297,0.050182,0.2467460835106383,0.12210599999999999,586,940
55.87755#56.67347#-3.32653#-1.91837#Bombing_Explosion-Facility_Infrastructure_Attack,0.3481925518218624,0.454092,0.22310212583333336,0.10612450000000001,144,120
32.0#32.79592#44.55102#45.95918#Bombing_Explosion-Facility_Infrastructure_Attack,0.12426105060386473,0.0235976,0.2223141498827667,0.1537585,302,1706
48.71429#49.5102#2.30612#3.71429#Bombing_Explosion-Facility_Infrastructure_Attack,0.11081422247296661,0.0888875,0.25634697591973243,0.14998399999999998,466,299
44.73469#45.53061#41.73469#43.14286#Bombing_Explosion-Facility_Infrastructure_Attack,0.30501548257261407,0.451725,0.31514600722891567,0.4919605,130,166
