lattgt1 lattgt2 lontgt1 lontgt2 vartgt auc
53.4898 54.28571 -7.5510199999999985 -6.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.860991
53.4898 54.28571 -7.5510199999999985 -6.14286 VAR 0.8279200000000001
53.4898 54.28571 26.2449 27.65306 Bombing_Explosion-Facility_Infrastructure_Attack 0.966893
53.4898 54.28571 26.2449 27.65306 VAR 0.961257
54.28571 55.08163 -7.5510199999999985 -6.14286 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.74231
54.28571 55.08163 -7.5510199999999985 -6.14286 Bombing_Explosion-Facility_Infrastructure_Attack 0.80465
54.28571 55.08163 -7.5510199999999985 -6.14286 VAR 0.813812
54.28571 55.08163 -6.14286 -4.7346900000000005 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.818484
54.28571 55.08163 -6.14286 -4.7346900000000005 Bombing_Explosion-Facility_Infrastructure_Attack 0.815945
54.28571 55.08163 -6.14286 -4.7346900000000005 VAR 0.7809050000000001
55.08163 55.87755 37.5102 38.91837 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.8027340000000001
55.08163 55.87755 37.5102 38.91837 Bombing_Explosion-Facility_Infrastructure_Attack 0.691271
55.08163 55.87755 37.5102 38.91837 VAR 0.846039
59.85714 60.65306 9.34694 10.7551 Armed_Assault-Hostage_Taking_Barricade_Incident-Hijacking-Assassination-Hostage_Taking_Kidnapping_ 0.986203
